Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Logan Henderson","MIL",11.73913043478261,2.347826086956522,5,0.782608695652174,0.33333333,0.06666667,0.26666667,0.21428571428571427,1.0434782608695652,0.3076923076923077,0.80188679,68.49012627358397,59.116831684374546,71.50632595804638,2.739130434782609,2.3862118969792907,0.35291853780331817,2.8830906706011814,2.821581520897271,"Logan Henderson",31475,701656
"Chris Sale","ATL",10.451612903225806,2.032258064516129,5.14285714,0.8709677419354839,0.29875519,0.05809129,0.2406639,0.18018018018018017,0.8709677419354839,0.2361111111111111,0.86956522,46.60627853727481,74.27462919148124,72.1311669547438,1.8870967741935485,2.9367027805697536,-1.0496060063762052,2.908358484650812,2.8121380848775317,"Chris Sale",10603,519242
"David Bednar","NYY",11.454546447627887,3.6818185010232494,3.11111111,0.8181818891162776,0.2745098,0.08823529,0.18627451,0.2826086956521739,1.5909092288372064,0.3870967741935484,0.63253012,121.49166926861166,73.86685294631017,70.99318877063271,4.909091334697666,3.081864070892334,1.827227263805332,2.9082131950507706,2.791863438630685,"David Bednar",19569,670280
"Tommy Nance","TOR",10.714288633697683,3.4285723627832585,3.125,0.4285715453479073,0.29411765,0.09411765,0.2,0.2077922077922078,1.142857454261086,0.29411764705882354,0.66371681,94.95553313955062,59.236229672528665,65.94219932754535,3.8571439081311656,2.4628162831675793,1.3943276249635863,2.7019111513368284,2.7891708666254282,"Tommy Nance",19178,667297
"Jack Dreyer","LAD",9.969231939372364,2.492307984843091,4,0.41538466414051517,0.28571429,0.07142857,0.21428571,0.19480519480519481,0.9692308829945353,0.2692307692307692,0.82524272,51.80311762837663,58.721833776115815,83.57730942431839,2.076923320702576,2.4357101488959767,-0.3587868281934008,3.371226639966239,2.7854057534192527,"Jack Dreyer",30249,676263
"Kirby Yates","LAA",12.789476251998952,4.263158750666317,3,1.4210529168887724,0.32142857,0.10714286,0.21428571,0.16666666666666666,1.1052633798023785,0.21428571428571427,0.75757576,103.10817398801694,100.98542211482506,78.84441604051757,4.263158750666317,4.187127450694713,0.0760312999716044,3.2288878370571172,2.7826659577658344,"Kirby Yates",9073,489446
"Tarik Skubal","DET",9.346154120405759,1.2461538827207677,7.5,0.41538462757358924,0.27108434,0.03614458,0.23493976,0.22012578616352202,0.94615387391762,0.29464285714285715,0.71428571,65.90406888593431,50.90631326569333,61.322727130676846,2.7000000792283303,2.0895563494665375,0.6104437297617928,2.513233949408014,2.7718453504952567,"Tarik Skubal",22267,669373
"Jake Bird","NYY",9.918370435557598,2.2040823190128,4.5,0.5510205797532,0.25714286,0.05714286,0.2,0.25,1.224490177229333,0.3333333333333333,0.67961165,109.09458467380064,66.50916178065197,79.43211473133034,4.4081646380256,2.775741526585001,1.6324231114405987,3.2528917361681344,2.7701671800448886,"Jake Bird",21267,656234
"Aaron Ashby","MIL",13.354840763898167,4.935484630136279,2.70588235,0.29032262530213404,0.34328358,0.12686567,0.21641791,0.23275862068965517,1.4193550570326554,0.37681159420289856,0.80275229,65.333909305928,56.38163276228579,67.11924542577152,2.6129036277192066,2.2754123339419623,0.3374912937772443,2.7056824408336415,2.7630935680858535,"Aaron Ashby",23550,676879
"Evan Sisk","PIT",10.477614326503089,2.8208961648277544,3.71428571,0.4029851664039649,0.29545455,0.07954545,0.21590909,0.20512820512820512,1.0298509808101326,0.29411764705882354,0.89430894,39.25514017039058,66.73121687140993,84.2952571867379,1.6119406656158597,2.678878904488369,-1.0669382388725095,3.4002595789924044,2.75589074895434,"Evan Sisk",24995,681895
