Name,Team,PA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Andruw Monasterio","BOS",89,0.25142857,0.65671642,0.46808511,0.65909091,0.90151515,0.84090909,0.53457447,19.25704225,"Andruw Monasterio",19455,655316
"Leody Taveras","BAL",143,0.28571429,0.66015625,0.45567376,0.64772727,0.84023669,0.77431907,0.45390071,19.2547619,"Leody Taveras",18900,665750
"Royce Lewis","MIN",119,0.328125,0.67772512,0.48608137,0.44047619,0.78321678,0.65638767,0.45182013,19.25433526,"Royce Lewis",20437,668904
"Julio Rodríguez","SEA",235,0.38104839,0.71428571,0.53104213,0.56613757,0.86551724,0.7473904,0.45011086,19.24849398,"Julio Rodriguez",23697,677594
"Ryan Jeffers","MIN",147,0.23442136,0.55821918,0.38473768,0.70886076,0.92638037,0.8553719,0.46422893,19.24058577,"Ryan Jeffers",24618,680777
"Javier Sanoja","MIA",117,0.4,0.59459459,0.49113924,0.82142857,0.93636364,0.88659794,0.46835443,19.23021583,"Javier Sanoja",28253,691594
"Wyatt Langford","TEX",84,0.29411765,0.65838509,0.47129909,0.6,0.8490566,0.76923077,0.48640483,19.22983871,"Wyatt Langford",33333,694671
"Bobby Witt Jr.","KCR",235,0.34210526,0.6761658,0.48863636,0.62130178,0.89272031,0.78604651,0.43863636,19.22706065,"Bobby Witt Jr.",25764,677951
"Luisangel Acuña","CHW",103,0.32380952,0.65217391,0.46630728,0.52941176,0.9047619,0.75722543,0.43396226,19.22641509,"Luisangel Acuna",26548,682668
"Daulton Varsho","TOR",201,0.352657,0.75147929,0.53191489,0.71232877,0.88582677,0.8225,0.44946809,19.22545455,"Daulton Varsho",19918,662139
"Ryan Ritter","COL",7,0.45454545,0.92857143,0.72,0.6,0.69230769,0.66666667,0.56,19.22222222,"Ryan Ritter",31500,690022
"Kyle Isbel","KCR",147,0.34385965,0.57489879,0.45112782,0.66326531,0.95774648,0.8375,0.46428571,19.22163588,"Kyle Isbel",21614,664728
"Brett Baty","NYM",178,0.26790451,0.64672365,0.45054945,0.5049505,0.83700441,0.7347561,0.48214286,19.21311475,"Brett Baty",26123,683146
"Ben Williamson","TBR",127,0.29496403,0.53441296,0.40761905,0.7195122,0.92424242,0.84579439,0.47047619,19.2106599,"Ben Williamson",33197,810938
"Jared Triolo","PIT",69,0.23255814,0.59854015,0.42105263,0.36666667,0.91463415,0.76785714,0.51503759,19.20812183,"Jared Triolo",25807,669707
"Jonny DeLuca","TBR",125,0.37142857,0.68181818,0.51827957,0.62637363,0.86666667,0.77593361,0.47311828,19.20710059,"Jonny DeLuca",26365,676356
"Jake Bauers","MIL",175,0.19402985,0.65546218,0.43208092,0.46153846,0.85897436,0.77257525,0.51589595,19.20116054,"Jake Bauers",15194,641343
"Fernando Tatis Jr.","SDP",219,0.29748284,0.72191011,0.48802018,0.43846154,0.85992218,0.71834625,0.44892812,19.19826087,"Fernando Tatis Jr.",19709,665487
"Mauricio Dubón","ATL",203,0.36090226,0.67714286,0.50867824,0.72222222,0.907173,0.83727034,0.46728972,19.19485294,"Mauricio Dubon",16530,643289
"Spencer Horwitz","PIT",176,0.24739583,0.56918239,0.39316239,0.69473684,0.9558011,0.86594203,0.45299145,19.19267823,"Spencer Horwitz",26477,687462
"Andrew McCutchen","TEX",80,0.20467836,0.69767442,0.45189504,0.42857143,0.775,0.69677419,0.50145773,19.19157088,"Andrew McCutchen",9847,457705
"Byron Buxton","MIN",204,0.35768262,0.73850575,0.53557047,0.45070423,0.83268482,0.69674185,0.46711409,19.18959108,"Byron Buxton",14161,621439
"Jazz Chisholm Jr.","NYY",209,0.27842227,0.59605911,0.43249701,0.55833333,0.78099174,0.70718232,0.48506571,19.1888,"Jazz Chisholm Jr.",20454,665862
"Carlos Santana","ARI",26,0.35714286,0.68,0.50943396,0.45,0.88235294,0.72222222,0.47169811,19.18181818,"Carlos Santana",2396,467793
"Matt McLain","CIN",210,0.23364486,0.62,0.42028986,0.59,0.86290323,0.78448276,0.48309179,19.17532468,"Matt McLain",29695,680574
"Caleb Durbin","BOS",164,0.25605536,0.58441558,0.42546064,0.7027027,0.91666667,0.85433071,0.5159129,19.16937355,"Caleb Durbin",29646,702332
"Sung-Mun Song","SDP",25,0.19642857,0.64150943,0.41284404,0.45454545,0.88235294,0.77777778,0.48623853,19.16666667,"Sung-Mun Song",37122,823550
"Josh Bell","MIN",204,0.29977117,0.74796748,0.50496278,0.63358779,0.82608696,0.76412776,0.45781638,19.16582915,"Josh Bell",13145,605137
"Alex Bregman","CHC",237,0.20652174,0.55785124,0.38665254,0.65263158,0.89259259,0.83013699,0.51271186,19.16265912,"Alex Bregman",17678,608324
"Michael Harris II","ATL",189,0.43561644,0.71335505,0.5625,0.57232704,0.91324201,0.76984127,0.45684524,19.16216216,"Michael Harris II",25931,671739
"Tim Tawa","ARI",66,0.30625,0.66666667,0.46289753,0.65306122,0.86585366,0.78625954,0.43462898,19.16203704,"Tim Tawa",29571,694374
"CJ Kayfus","CLE",25,0.34482759,0.76,0.53703704,0.3,0.81578947,0.63793103,0.46296296,19.15853659,"CJ Kayfus",33704,692216
"Brandon Lowe","PIT",208,0.31289641,0.67007673,0.47453704,0.43243243,0.82824427,0.68536585,0.4525463,19.15821813,"Brandon Lowe",18882,664040
"Jake Cronenworth","SDP",114,0.25098039,0.63636364,0.43415638,0.46875,0.93197279,0.79146919,0.47530864,19.1548913,"Jake Cronenworth",18036,630105
"Matt Wallner","MIN",135,0.3161512,0.74169742,0.52135231,0.31521739,0.71641791,0.59044369,0.48220641,19.15456674,"Matt Wallner",26466,670242
"Aaron Judge","NYY",234,0.26287744,0.64285714,0.43125618,0.49324324,0.79861111,0.69495413,0.44312562,19.15444015,"Aaron Judge",15640,592450
"Zach Neto","LAA",247,0.31760436,0.71330275,0.49240122,0.49142857,0.83601286,0.71193416,0.44174265,19.14518318,"Zach Neto",31347,687263
"Teoscar Hernández","LAD",196,0.26555024,0.64456233,0.44528302,0.58558559,0.79423868,0.72881356,0.47421384,19.14453782,"Teoscar Hernandez",13066,606192
"Edmundo Sosa","PHI",87,0.53846154,0.72262774,0.61755486,0.68367347,0.87878788,0.78172589,0.42946708,19.14224138,"Edmundo Sosa",17022,624641
"Evan Carter","TEX",181,0.2027027,0.60477454,0.40562249,0.44,0.86842105,0.76237624,0.50468541,19.13499112,"Evan Carter",27790,694497
"Josh Jung","TEX",199,0.31903485,0.64809384,0.47619048,0.68907563,0.92307692,0.84117647,0.47759104,19.13085938,"Josh Jung",26299,673962
"Alec Bohm","PHI",197,0.23579545,0.61383285,0.42346209,0.73493976,0.89671362,0.85135135,0.49642346,19.13026052,"Alec Bohm",21618,664761
"Mike Yastrzemski","ATL",155,0.29276316,0.56656347,0.4338118,0.65168539,0.8579235,0.79044118,0.51515152,19.12896406,"Mike Yastrzemski",14854,573262
"Patrick Wisdom","SEA",12,0.38461538,0.76,0.56862745,0.6,0.73684211,0.68965517,0.49019608,19.12820513,"Patrick Wisdom",13602,621550
"Victor Scott II","STL",148,0.22529644,0.68458781,0.46616541,0.31578947,0.86387435,0.73790323,0.52443609,19.11979167,"Victor Scott II",31349,687363
"Otto Lopez","MIA",221,0.34803922,0.61953728,0.48055207,0.61971831,0.92116183,0.80939948,0.4880803,19.11033275,"Otto Lopez",19608,672640
"Ernie Clement","TOR",209,0.44712991,0.69180328,0.56446541,0.75675676,0.94312796,0.86629526,0.47955975,19.10900474,"Ernie Clement",20352,676391
"Bo Naylor","CLE",90,0.25628141,0.66304348,0.45169713,0.68627451,0.94262295,0.86705202,0.48041775,19.10810811,"Bo Naylor",21865,666310
"Jackson Merrill","SDP",204,0.34437086,0.80273973,0.54889976,0.59615385,0.83959044,0.75501114,0.44621027,19.09624796,"Jackson Merrill",29490,701538
"Jorge Mateo","ATL",64,0.41428571,0.65811966,0.52529183,0.53448276,0.83116883,0.7037037,0.45525292,19.09326425,"Jorge Mateo",17273,622761
"Ian Happ","CHC",220,0.25,0.60599078,0.41978022,0.47058824,0.7756654,0.68062827,0.47692308,19.09156977,"Ian Happ",17919,664023
"Richie Palacios","TBR",105,0.27777778,0.59340659,0.41586538,0.70769231,0.88888889,0.82080925,0.4375,19.08201893,"Richie Palacios",24589,680700
"Drew Millas","WSN",93,0.30409357,0.60119048,0.45132743,0.59615385,0.88118812,0.78431373,0.49557522,19.08163265,"Drew Millas",25643,686452
"Hunter Goodman","COL",199,0.44312796,0.72222222,0.56434316,0.52406417,0.79059829,0.67220903,0.43431635,19.07706422,"Hunter Goodman",29715,696100
"Garrett Stubbs","PHI",21,0.39534884,0.6875,0.52,0.58823529,0.95454545,0.79487179,0.42666667,19.07407407,"Garrett Stubbs",18067,596117
"Zach McKinstry","DET",104,0.3,0.68888889,0.51604938,0.68518519,0.9483871,0.88038278,0.55555556,19.0735786,"Zach McKinstry",19392,656716
"Austin Wynns","ATH",43,0.41558442,0.7012987,0.55844156,0.59375,0.83333333,0.74418605,0.5,19.07207207,"Austin Wynns",15271,642851
"Ryan McMahon","NYY",150,0.30208333,0.625,0.46575342,0.3908046,0.86486486,0.71323529,0.50684932,19.07175926,"Ryan McMahon",15112,641857
"Josh Lowe","LAA",134,0.36298932,0.72953737,0.54626335,0.61764706,0.8195122,0.752443,0.5,19.07075472,"Josh Lowe",19953,666139
"Marcelo Mayer","BOS",156,0.28719723,0.73484848,0.50090416,0.46987952,0.85051546,0.73646209,0.47739602,19.06887755,"Marcelo Mayer",29668,691785
