Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Year,bWAR,EV,Barrel%,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%
Randy Nosek,DET,1,1,0,3,2,7.0,3.857142857142857,11.571428571428571,1.2857142857142858,0.2727272727272727,0.61643836,,,,7.714285714285714,,7.665441874095372,,-0.1692614778876304,Randy Nosek,1009649,119856,0.33333333,0.08571429,0.25714286,-0.17142857,0.2692307692307692,2.2857142857142856,196.9066598273574,190.65861692725065,,0.0488438401903428,,0,0,0,,,35,7,7,6,1,9,1,0,1,0,3,-0.2765079885721206,-0.8228039853274822,0.5462960004806519,-3.6206999123096466,-0.3463452942669391,1.0945366529318004,0.8017774687872993,1.016800006230672,1.3553999662399292,3,-0.3417645748704672,0.0891389658225903,1,0,1990,-0.27,,,,,,,,,,
Mike Rochford,BOS,0,1,0,2,1,4.0,0.0,9.00000026822091,2.2500000670552276,0.45,0.31746032,,,,18.00000053644182,,9.058299203217036,,-0.1764545842597726,Mike Rochford,1011090,121337,0.0,0.0,0.16,-0.16,0.4761904761904761,3.5000001043081315,437.9214584601762,228.64197016743972,,8.941701333224785,,0,0,0,,,25,10,10,8,1,4,0,0,1,0,0,-0.3644899892387911,-0.46540400046797,0.1009139962261542,-5.861999869346619,-0.57566699385643,0.5038274033637397,0.3450400025583803,0.4649000084027648,0.3583999872207641,2,-0.2717700898647308,-0.4516720786344815,0,0,1990,-0.26,,,,,,,,,,
Al Nipper,CLE,2,3,0,9,5,24.0,4.500000715255851,7.125001132488431,0.7500001192093085,0.3666666666666666,0.69548872,,,,6.7500010728837765,,5.516632780763906,,-0.1779158860445022,Al Nipper,1009602,119805,0.63157895,0.096,0.152,-0.056,0.3365384615384615,2.2500003576279255,169.7438044904555,141.95752901861488,,1.23336829211987,,1,0,0,,,125,35,19,18,2,19,0,2,6,0,12,-0.6410999745130539,-2.370412051677704,1.7293119728565216,-10.275799989700316,-1.085967838764191,0.9269421455614708,0.7398360541888646,0.8254888852437338,1.0667999908328056,8,-1.1048783659934998,0.4132494681352364,1,2,1990,-0.51,,,,,,,,,,
Dean Wilkins,CHC,0,0,1,7,0,7.1,3.681818820228372,8.590910580532869,1.227272940076124,0.3448275862068966,0.625,,,,9.818183520608992,,7.0355724772147195,,-0.1823734045028686,Dean Wilkins,1013955,124268,0.42857143,0.07317073,0.17073171,-0.09756098,0.3333333333333333,2.454545880152248,245.16780645850832,180.80552318536925,,2.7826110433942723,,0,0,0,,,41,11,8,8,1,7,0,1,3,0,3,-0.1627620011568069,-0.314844012260437,0.15208201110363,-4.474999904632568,-0.418923407793045,0.24088154733181,0.3981777727603912,0.4960571527481079,0.1709000021219253,4,-0.3540250360965729,-0.3216680709914732,1,2,1990,-0.2,,,,,,,,,,
Ernie Camacho,- - -,0,0,0,14,0,15.2,8.617020577205855,5.170212346323512,1.723404115441171,0.3111111111111111,0.73394495,,,,5.170212346323512,,5.106171170874076,,-0.1826188676059246,Ernie Camacho,1001856,111900,1.66666667,0.20833333,0.125,0.08333333,0.2698412698412698,1.659574333387794,137.5664108676503,135.2698093009847,,0.0640411754494367,,0,0,0,,,72,17,10,9,3,9,1,0,2,0,15,-0.5537140369415283,-0.8980200588703156,0.344306007027626,-3.284999907016754,-0.3468681648373604,0.4452240085601807,0.4185473518936257,0.4130428688866751,0.7550749871879816,8,-0.5080462098121643,-0.7356289431343173,0,5,1990,-0.22000000000000003,,,,,,,,,,
Luis Aquino,KCR,4,1,0,20,3,68.1,3.687804740801379,3.556097428629901,0.7902438730288669,0.2387387387387387,0.79656863,,,,3.1609754921154676,,4.491225783588065,,-0.1847235700115561,Luis Aquino,1000285,110298,1.03703704,0.09756098,0.09407666,0.00348432,0.23046875,1.2585365385274547,80.97327602854863,119.69446785090491,,-1.330250291472597,,3,1,0,,,287,59,25,24,6,27,6,4,3,1,28,1.0279940366744995,-2.7230000495910645,3.7509939670562744,11.194900035858154,1.156100153923035,0.6684849189745413,0.64496754946774,0.6411500245332717,0.5838249884545803,16,0.4777505546808243,1.0600463461848626,5,1,1990,1.7,,,,,,,,,,
Kent Mercker,ATL,4,7,7,36,0,48.1,7.262069156569623,4.468965634812076,1.117241408703019,0.2642857142857143,0.77557756,,,,3.1655173246585537,,4.422092162856876,,-0.1856686621904373,Kent Mercker,439,118967,1.625,0.18483412,0.11374408,0.07109005,0.2324324324324324,1.3862069330204123,79.38359109566356,113.33431354466774,,-1.256574838198322,,0,0,0,,,211,43,22,17,6,24,3,2,2,0,39,-0.6013301014900208,-6.52705192565918,5.925722122192383,1.2930004596710205,0.1425720304250717,1.6801685094833374,1.5962344408035278,1.3281888961791992,2.136100053787231,8,-0.5518286228179932,0.1939299370040722,12,9,1990,0.49,,,,,,,,,,
Jim Poole,LAD,0,0,0,16,0,10.2,5.062501659617372,6.750002212823163,0.8437502766028954,0.1935483870967742,0.73529412,,,,4.218751383014476,,5.15204978529389,,-0.1882069259881973,Jim Poole,1010435,120666,0.75,0.13043478,0.17391304,-0.04347826,0.1842105263157894,1.4062504610048256,113.7571263014795,138.9947255570434,,-0.933298402279414,,0,0,0,,,46,7,5,5,1,8,4,0,1,0,6,-0.2401600033044815,-0.7363319993019104,0.4961720108985901,-0.3790001571178436,-0.0727789849042892,0.8461916446685791,1.2047055959701538,1.3489562273025513,1.9329166412353516,12,0.0727289915084838,-0.3565417717664867,2,3,1990,0.0,,,,,,,,,,
Steve Rosenberg,CHW,1,0,0,6,0,10.0,3.6,4.5,1.8,0.2424242424242424,0.73770492,,,,5.4,,6.108299016952515,,-0.1896683722734451,Steve Rosenberg,1011215,121465,0.8,0.09090909,0.11363636,-0.02272727,0.2564102564102564,1.5,137.50542369536583,159.37664826841132,,-0.7082990169525143,,0,0,0,,,44,10,6,6,2,5,0,0,0,0,4,-0.0095020048320293,-0.1894319951534271,0.1799300014972686,-3.2190001010894775,-0.3208104074001312,0.2258226126432418,0.4281834065914154,0.569100022315979,0.1397999972105026,3,-0.0256998911499977,-0.0163774044795624,1,1,1990,-0.08,,,,,,,,,,
Terry Wells,LAD,1,2,0,5,5,20.2,7.838712088896256,6.096776069141533,1.7419360197547236,0.3181818181818182,0.47904192,,,,7.838712088896256,,5.614751493224014,,-0.1936929374933242,Terry Wells,1013771,124078,1.28571429,0.17647059,0.1372549,0.03921569,0.2840909090909091,1.8870973547342835,211.36807557034604,151.47480787079687,,2.223960595672242,,1,0,0,,,102,25,23,18,4,14,0,0,1,0,18,-1.5037519931793213,-3.0020620822906494,1.4983099699020386,-14.698200225830078,-1.5952370166778564,1.0879710912704468,0.8734251856803894,0.8586400151252747,0.9980400204658508,5,-0.7569869756698608,-0.6251747428215362,0,0,1990,-0.98,,,,,,,,,,
Kevin Ritz,DET,0,4,0,4,4,7.1,3.68182193248122,17.18183568491236,0.0,0.4,0.57142857,,,,11.04546579744366,,7.717394926927475,,-0.199341282248497,Kevin Ritz,1010998,121244,0.21428571,0.05769231,0.26923077,-0.21153846,0.3684210526315789,3.8181857077583023,281.9348228682157,191.95099428254744,,3.3280708705161848,,0,0,0,,,52,14,12,9,0,14,2,0,3,0,3,-0.9250339865684508,-1.640729904174805,0.7156959772109985,-10.272700309753418,-1.0465840101242063,1.4301974773406982,0.8774601221084595,0.8799999952316284,1.421299934387207,4,-0.6535429954528809,0.0067554005758053,0,0,1990,-0.64,,,,,,,,,,
Brent Knackert,SEA,1,1,0,24,2,37.1,6.749998505626737,5.062498879220053,1.2053568760047744,0.3461538461538461,0.68181818,,,,6.508927130425782,,4.897584268694124,,-0.200141854584217,Brent Knackert,1007025,117177,1.33333333,0.15053763,0.11290323,0.03763441,0.3067484662576687,1.9017852932519776,162.3501212306853,122.72010759382556,,1.611342861731658,,0,0,0,,,186,50,28,27,5,21,2,2,3,0,28,-0.6673219874501228,-1.9027999639511108,1.235478013753891,-15.316099882125854,-1.6058994010090828,0.4348868276040578,0.477483332157135,0.5737916479508082,0.46688887808058,18,-0.8094727098941803,-0.7250000427680026,1,4,1990,-0.69,,,,,,,,,,
Ed Vosberg,SFG,1,1,0,18,0,24.1,4.438356744211895,4.438356744211895,1.109589186052974,0.2337662337662337,0.59027778,,,,5.547945930264869,,4.904189701719243,,-0.2002828568220138,Ed Vosberg,1426,123756,1.0,0.11538462,0.11538462,0.0,0.2282608695652173,1.3561645607314123,151.17808250675054,130.87180268849824,,0.6437562285456258,,0,0,0,,,104,21,16,15,3,12,2,0,0,0,12,-0.2271680235862732,-0.7787020206451416,0.5515339970588684,-3.061000108718872,-0.341015100479126,0.2727817595005035,0.345548152923584,0.3964777886867523,0.3600769340991974,13,-0.0126716261729598,-0.8201114162205102,1,2,1990,-0.24,,,,,,,,,,
Chuck Malone,PHI,1,0,0,7,0,7.1,8.590912814969503,13.500005852094931,1.2272732592813576,0.1333333333333333,0.79365079,,,,3.6818197778440727,,7.17193727217512,,-0.2035850882530212,Chuck Malone,1008036,118209,0.63636364,0.20588235,0.32352941,-0.11764706,0.1304347826086956,1.9090917366598896,96.15346303168346,186.6894232030028,,-3.490117494331047,,0,0,0,,,34,3,4,3,1,11,0,0,1,0,7,0.0893300026655197,-0.2245339900255203,0.31386399269104,-0.4869999885559082,-0.067117303609848,0.4513473808765411,0.4151600003242492,0.5522571206092834,0.1808000057935714,4,0.1351872980594635,0.0627312153747697,1,0,1990,-0.02,,,,,,,,,,
Rafael Novoa,SFG,0,1,1,7,2,18.2,6.749998850482046,6.2678560754476145,1.4464283251032957,0.3103448275862069,0.67114094,,,,6.749998850482046,,5.486869989366026,,-0.2097690105438232,Rafael Novoa,1009654,119861,1.07692308,0.15909091,0.14772727,0.01136364,0.28,1.8214282612411872,183.93327836378677,146.4172089706013,,1.2631288611160203,,0,0,0,,,88,21,14,14,3,13,1,0,0,0,14,-0.5352760404348373,-1.5257500410079956,0.9904739856719972,-4.401599824428558,-0.4634581506252289,0.7302760097288317,0.6433186205950651,0.6244857055800301,1.0841999650001526,5,-0.5120433866977692,-0.2209343276236935,0,1,1990,-0.38,,,,,,,,,,
Mark Huismann,PIT,1,0,0,2,0,3.0,6.0,3.0,6.0,0.4444444444444444,0.57692308,,,,9.0,,12.14163235028585,,-0.2125724256038665,Mark Huismann,1006171,116298,2.0,0.13333333,0.06666667,0.06666667,0.4615384615384615,2.3333333333333335,243.9649326612765,324.08074069473145,,-3.1416323502858496,,0,0,0,,,15,6,5,3,2,1,0,1,1,0,2,-0.0282220020890235,-0.1663919985294342,0.1381700038909912,-2.921999931335449,-0.31004399061203,0.4447108805179596,0.4734500050544739,0.5972999930381775,1.719499945640564,2,-0.3494229912757873,0.2859615305259331,1,1,1990,-0.26,,,,,,,,,,
Gene Harris,SEA,1,2,0,25,0,38.0,10.18421052631579,7.105263157894737,1.1842105263157894,0.268041237113402,0.67272727,,,,4.7368421052631575,,4.703035859057778,,-0.217109277844429,Gene Harris,1005414,115535,1.43333333,0.24431818,0.17045455,0.07386364,0.2137931034482758,1.605263157894737,118.14956207533731,117.84421781311684,,0.0338062462053798,,0,0,0,,,176,31,25,20,5,30,5,1,2,0,43,-0.8781519532203674,-3.115648031234741,2.2374958992004395,-8.206000328063965,-0.8844571113586426,0.8463432192802429,0.9159462451934814,1.0628399848937988,1.1996307373046875,13,-0.938690423965454,-0.0988933047340865,4,6,1990,-0.62,,,,,,,,,,
Bob Knepper,SFG,3,3,0,12,7,44.1,4.872179752410121,3.857142303991346,1.4210524277862853,0.3245033112582781,0.72507553,,,,5.684209711145141,,5.131606954444378,,-0.2197749391198158,Bob Knepper,1007031,117184,1.26315789,0.11881188,0.09405941,0.02475248,0.3076923076923077,1.6917290806979588,154.8911859449479,136.93909836354086,,0.5526027567007628,,3,0,0,,,202,56,28,28,7,19,4,1,1,3,24,-0.2719198986887932,-3.51406592130661,3.2421460449695587,-7.573899745941162,-0.8022173047065735,0.9105093704079682,0.9008043594658376,0.8494333227475485,0.8386545398018577,11,-1.2920311093330383,0.9933852002119108,0,2,1990,-0.39,,,,,,,,,,
Todd Frohwirth,PHI,0,1,0,5,0,1.0,9.000009655962813,54.00005793577688,0.0,0.6,0.77777778,,,,18.000019311925627,,18.808316183108627,,-0.2199218124151229,Todd Frohwirth,1004374,114458,0.16666667,0.08333333,0.5,-0.41666667,0.5,9.000009655962813,470.0838976133416,489.5396244658059,,-0.8082968711829999,,0,0,0,,,12,3,2,2,0,6,2,0,1,0,1,-0.4205439984798431,-0.5363039970397949,0.1157599985599517,-3.063999891281128,-0.3553625047206878,1.6833206415176392,1.4122333526611328,1.6070799827575684,1.3554799556732178,5,-0.2400197684764862,-0.0098102330737183,0,2,1990,-0.18,,,,,,,,,,
Rudy Seanez,CLE,2,1,0,24,0,27.1,7.902445457867669,8.231714018612156,0.6585371214889725,0.2666666666666666,0.68584071,,,,5.597565532656266,,4.857081172695985,,-0.2226316630840301,Rudy Seanez,1279,121955,0.96,0.18897638,0.19685039,-0.00787402,0.2178217821782178,1.7195135949989837,140.76324716668347,124.9823190095515,,0.7404843599602815,,0,0,0,,,127,22,17,17,2,25,1,1,5,0,24,-0.0620539486408233,-1.6058919429779053,1.5438380241394043,-4.703999996185303,-0.4562760591506958,0.7715341448783875,0.7236807942390442,0.8053916692733765,1.4807333946228027,12,-0.4216605126857757,0.3412312160010456,2,4,1990,-0.26,,,,,,,,,,
Al Osuna,HOU,2,0,0,12,0,11.1,4.764705214121031,4.764705214121031,0.7941175356868385,0.28125,0.73863636,,,,4.764705214121031,,5.278886905756012,,-0.2284702062606811,Al Osuna,1009888,120106,1.0,0.125,0.125,0.0,0.2564102564102564,1.411764507887713,130.29097081456064,146.59890696901158,,-0.5141816916349811,,0,0,0,,,48,10,6,6,1,6,1,3,3,0,6,-0.5173200368881226,-1.3692100048065186,0.8518900275230408,-2.325000047683716,-0.2941139042377472,1.2142295837402344,1.1588940620422363,1.1780500411987305,2.4719200134277344,10,-0.3073436021804809,-0.1187043576251131,4,5,1990,0.01,,,,,,,,,,
Adam Peterson,CHW,2,5,0,20,11,85.0,3.0705883730984125,2.752941300019266,1.2705882923165843,0.2708333333333333,0.71146245,,,,4.552941380801094,,4.949475583634166,,-0.2286804653704166,Adam Peterson,1010220,120463,1.11538462,0.08123249,0.07282913,0.00840336,0.2735562310030395,1.3647059435992943,115.9359506717071,129.1356766134568,,-0.396534202833072,,3,2,0,,,357,90,46,43,12,26,0,2,3,0,29,-0.4419159889221191,-5.080798268318176,4.638882219791412,-4.505799770355225,-0.5031834840774536,0.72491582374315,0.6878871464480957,0.8364000231027603,1.2385857360703605,14,-0.7300088703632355,0.1203987964097422,0,1,1990,-0.13,,,,,,,,,,
Scott Scudder,CIN,5,5,0,21,10,71.2,5.274419493688276,3.767442495491626,1.5069769981966503,0.2707423580786026,0.73170732,,,,5.023256660655501,,5.194345930763878,,-0.2348291501402855,Scott Scudder,1011699,121951,1.4,0.13291139,0.09493671,0.03797468,0.2614840989399293,1.451163035300478,128.01105436101432,130.10468241739372,,-0.1710892701083768,,3,0,0,,,316,74,41,40,12,30,4,3,2,2,42,-0.5418360233306885,-6.149358034133911,5.607522010803223,-7.392000198364258,-0.8640860319137573,1.060495388685767,0.9515054814423188,0.9172857063157218,0.9339110851287842,18,-1.168191060423851,0.657263781426282,4,1,1990,0.04,,,,,,,,,,
Ricky Horton,STL,1,1,1,32,0,42.0,3.857142506813548,4.714285286105448,0.6428570844689248,0.3288590604026846,0.70621469,,,,4.928570980928423,,4.522584575536314,,-0.2404307425022125,Ricky Horton,1006036,116163,0.81818182,0.09326425,0.11398964,-0.02072539,0.3058823529411765,1.7619046018777935,128.60609030771482,119.16190698420834,,0.4059864053921087,,0,0,0,,,193,52,25,23,3,22,7,1,1,1,18,0.0381719917058944,-2.4222280979156494,2.460399866104126,-2.4069995880126953,-0.2908946275711059,0.719121515750885,0.7201666831970215,0.833299994468689,0.9550166726112366,24,0.0567792914807796,-0.0036978707892621,6,5,1990,-0.46,,,,,,,,,,
Curt Young,OAK,9,6,0,26,21,124.1,4.053619220035763,3.836461047533847,1.2305629775108566,0.2681704260651629,0.70231959,,,,4.849865852542788,,5.0120523230830685,,-0.2482292316854,Curt Young,1014368,124689,1.05660377,0.10626186,0.10056926,0.0056926,0.2627118644067797,1.4235924641792264,130.00089522419768,131.5780123240205,,-0.1621864705402806,,6,0,0,,,527,124,70,67,17,53,1,2,3,0,56,-0.2689980641007423,-8.7182537317276,8.449256092309952,-12.759900331497192,-1.2419501841068268,0.9374664209891056,0.8595328791372812,0.7814846015893496,1.3409615525832543,26,-0.5251727998256683,0.238231253890693,2,1,1990,-0.86,,,,,,,,,,
Randy Kramer,- - -,0,3,0,22,4,46.0,5.282609462287452,4.108696248445796,1.173913213841656,0.2733333333333333,0.73482428,,,,4.500000653059681,,4.895255841559903,,-0.2524348944425583,Randy Kramer,1007138,117291,1.28571429,0.13043478,0.10144928,0.02898551,0.2568306010928962,1.4782610840969,118.2205195441808,128.27897099385137,,-0.3952551885002222,,0,0,0,,,207,47,25,23,6,21,6,3,0,0,27,-0.9235579892992972,-3.0715359449386597,2.1479780077934265,-4.893499970436096,-0.4776358902454376,0.707640303223657,0.6380117652462978,0.7181272560899908,0.5623124986886978,16,-0.4669787362217903,-0.8381447637993742,1,5,1990,-0.07999999999999999,,,,,,,,,,
Scott Terry,STL,2,6,2,50,2,72.0,4.375,3.375,0.875,0.272,0.63409563,,,,4.75,,4.391632350285848,,-0.2544452548027038,Scott Terry,1012930,123201,1.2962963,0.10835913,0.08359133,0.0247678,0.2568493150684932,1.4166666666666667,123.94646061211247,115.71247549010566,,0.3583676497141521,,0,0,0,,,323,75,45,38,7,27,5,4,2,0,35,-1.7728420495986938,-5.221183955669403,3.448341876268387,-15.585999488830566,-1.67154061794281,0.784976426512003,0.7921909093856812,0.9671000337600708,1.115266636013985,24,-1.091971933841705,-1.166493403106328,6,9,1990,-1.14,,,,,,,,,,
Drew Hall,MON,4,7,3,42,0,58.1,6.171432338171942,4.474288445174658,0.9257148507257912,0.2569832402234637,0.63360882,,,,5.091431678991852,,4.265442763465335,,-0.2575821578502655,Drew Hall,1005242,115335,1.37931034,0.15748031,0.11417323,0.04330709,0.2311111111111111,1.388572276088687,134.4803245924477,114.47093982603786,,0.8259889155265174,,0,0,0,,,254,52,35,33,6,29,5,0,3,0,40,-0.4784880578517914,-5.245940208435059,4.767451763153076,-3.994999885559082,-0.4512627422809601,1.193319320678711,1.1715998649597168,1.1535285711288452,1.6666138172149658,29,-1.160337209701538,0.7593648550599933,9,10,1990,-0.82,,,,,,,,,,
Brian Holton,BAL,2,3,0,33,0,58.0,4.1896548968574985,3.25862047533361,1.0862068251112034,0.3019801980198019,0.73232323,,,,4.4999997040321285,,4.532436834589346,,-0.2628204524517059,Brian Holton,1005986,116113,1.28571429,0.10505837,0.08171206,0.0233463,0.288135593220339,1.5344826576967794,117.30981434928836,115.64374426878804,,-0.0324371305572173,,0,0,0,,,257,68,31,29,7,21,6,0,2,2,27,-0.4391040205955505,-2.7360339164733887,2.2969300746917725,-7.843999862670898,-0.8055874109268188,0.5894996523857117,0.6394245028495789,0.9318060278892516,0.91525000333786,20,-0.6744503378868103,-0.0704254543524075,6,6,1990,-0.24,,,,,,,,,,
Chris Hammond,CIN,0,2,0,3,3,11.1,3.176471479211549,9.529414437634648,1.5882357396057745,0.2894736842105263,0.72072072,,,,6.352942958423098,,7.573006235769839,,-0.2686666548252105,Chris Hammond,92,115391,0.33333333,0.07142857,0.21428571,-0.14285714,0.2954545454545454,2.205882971674687,161.8963515786189,189.6699902558082,,-1.2200632773467408,,0,0,0,,,56,13,9,8,2,12,1,0,1,3,4,-0.4064940810203552,-1.3124920129776,0.9059979915618896,-4.233999729156494,-0.4667761027812958,0.9791486263275146,0.9147845506668092,0.8700000047683716,1.781599998474121,3,-0.6228848099708557,0.2077342699093438,0,0,1990,-0.18,,,,,,,,,,
Tommy Greene,- - -,3,3,0,15,9,51.1,3.681818409821796,4.5584418407317475,1.402597489455922,0.2456140350877192,0.69908815,,,,5.084415899277718,,5.594013475177471,,-0.2697577476501465,Tommy Greene,1005013,115099,0.80769231,0.09251101,0.11453744,-0.02202643,0.25,1.4805195722034734,130.78117768502432,144.86926663795697,,-0.5095975758997531,,4,0,0,,,227,50,31,29,8,26,1,1,1,0,21,-0.721314013004303,-4.153442025184631,3.432128082960844,-7.516999781131744,-0.7978197038173676,0.9352412399863392,0.8358523095476216,0.7020799875259399,1.0231285659330231,14,-1.1276262588799,0.3563664147194361,0,2,1990,-0.3,,,,,,,,,,
Kevin Bearse,CLE,0,2,0,3,3,7.2,2.3478262816575324,5.869565704143831,2.3478262816575324,0.4117647058823529,0.59405941,,,,12.91304454911643,,8.416995134245509,,-0.2756576538085937,Kevin Bearse,1000724,110743,0.4,0.04444444,0.11111111,-0.06666667,0.4210526315789473,2.739130661933788,324.7272534706903,216.6056072743213,,4.496049414870921,,0,0,0,,,45,16,11,11,2,5,0,2,0,0,2,-0.8098800182342529,-1.3952319622039795,0.5853520035743713,-8.246399879455566,-0.849573016166687,0.9476467967033386,0.8378221988677979,0.88673335313797,0.7138000130653381,3,-0.904670000076294,0.0500477705160262,0,0,1990,-0.55,,,,,,,,,,
Gary Mielke,TEX,0,3,0,33,0,41.0,2.8536585365853657,3.292682926829268,0.8780487804878049,0.2714285714285714,0.76779026,,,,3.951219512195122,,4.68634779744032,,-0.2805191874504089,Gary Mielke,1008847,119036,0.86666667,0.07471264,0.0862069,-0.01149425,0.267515923566879,1.3902439024390243,100.95059502457823,119.70265331686592,,-0.7351282852451977,,0,0,0,,,174,42,18,18,4,15,5,2,1,0,13,-0.820032000541687,-2.94417405128479,2.1241419315338135,-3.972999811172486,-0.4046766757965088,0.7361525893211365,0.8892872333526611,1.118278741836548,0.9296640157699584,25,0.0742479860782623,-1.1881909544754832,5,8,1990,0.53,,,,,,,,,,
Steve Cummings,TOR,0,0,0,6,2,12.1,2.918920574091644,3.648650717614555,2.918920574091644,0.4090909090909091,0.9375,,,,5.108111004660377,,7.835328894554791,,-0.2861435562372207,Steve Cummings,1002875,112938,0.8,0.06896552,0.0862069,-0.01724138,0.4230769230769231,2.189190430568733,129.3710707248593,194.54958210430837,,-2.7272178898944137,,0,0,0,,,58,22,7,7,4,5,0,1,0,0,4,-0.2123959735035896,-1.1629440039396286,0.950547993183136,-1.167199969291687,-0.1245899125933647,0.8298693645385004,0.717986810207367,0.5140666762987772,1.5459999442100525,4,-0.7947501540184021,0.5388111079714313,0,1,1990,0.02,,,,,,,,,,
Mark Thurmond,SFG,2,3,4,43,0,56.2,3.8117653901520474,2.8588240426140357,0.952941347538012,0.2473684210526315,0.71884984,,,,3.3352947163830415,,4.290652224233867,,-0.2989461421966553,Mark Thurmond,1013052,123329,1.33333333,0.10084034,0.07563025,0.02521008,0.2409090909090909,1.2529414013925713,90.88471051368232,114.50315326099518,,-0.9553575078508252,,0,0,0,,,238,53,26,21,6,18,3,0,1,0,24,-0.0599360652267932,-3.7752301692962646,3.715294122695923,0.7890000939369202,0.092167742550373,0.9021313786506652,1.3034027814865112,1.6923162937164309,1.43819260597229,27,0.1386931240558624,-0.2051314130292942,12,9,1990,0.09,,,,,,,,,,
Randy Veres,MIL,0,3,1,26,0,41.2,3.456000843750206,3.456000843750206,1.0800002636719397,0.2408759124087591,0.79166667,,,,3.672000896484594,,4.824299509140134,,-0.3085021674633026,Randy Veres,1013412,123708,1.0,0.09142857,0.09142857,0.0,0.240506329113924,1.2960003164063272,95.41222380870042,124.13076224436108,,-1.1522986126555406,,0,0,0,,,175,38,17,17,5,16,3,1,3,0,16,-0.6346259713172913,-2.276737928390503,1.6421120166778564,2.1559998989105225,0.219798669219017,0.5960113406181335,0.6341293454170227,0.7108691930770874,0.7936857342720032,14,-0.2634734511375427,-0.8013149649001619,4,5,1990,0.57,,,,,,,,,,
John Cerutti,TOR,9,9,0,30,23,140.0,3.149999957084656,3.149999957084656,1.4785714084274917,0.2871900826446281,0.75492341,,,,4.75714279233193,,5.379727553348152,,-0.3116326928138733,John Cerutti,1002106,112160,1.0,0.08045977,0.08045977,0.0,0.2913669064748201,1.5071428366096655,120.48224012233408,133.56940557487297,,-0.6225847610162223,,7,0,0,,,609,162,77,74,23,49,3,4,4,1,49,-1.3281660825014114,-11.739442467689514,10.411275804042816,-13.34920084476471,-1.4452122747898102,0.9675843578776674,0.8675628664509561,0.8297866682211558,1.0792896665375808,29,-2.3350964933633804,0.9624346973266438,1,2,1990,0.63,,,,,,,,,,
Dale Mohorcic,MON,1,2,2,34,0,53.0,4.924528656331812,3.056603993585262,1.018867997861754,0.2958579881656805,0.81896552,,,,3.226415326562221,,4.43094064317679,,-0.315019428730011,Dale Mohorcic,1009034,119229,1.61111111,0.12831858,0.07964602,0.04867257,0.2745098039215686,1.3962265155883296,85.21952325834793,118.911118632001,,-1.2045253166145686,,0,0,0,,,226,56,21,19,6,18,3,4,1,1,29,-1.1610599756240845,-3.876821994781494,2.71576189994812,1.9560000896453855,0.2394207417964935,0.8512834906578064,0.7712000012397766,0.9284235239028932,1.5114272832870483,22,-0.527921199798584,-0.8359722485835839,6,7,1990,0.63,,,,,,,,,,
John Costello,- - -,0,0,0,8,0,10.2,1.6875005532057907,1.6875005532057907,2.531250829808686,0.2307692307692307,0.64814815,,,,5.906251936220268,,6.933300369233336,,-0.316716805100441,John Costello,1002654,112714,1.0,0.04255319,0.04255319,0.0,0.2727272727272727,1.3125004302711705,155.19456753725956,184.7125371344212,,-1.0270484330130687,,0,0,0,,,47,12,8,7,3,2,1,1,0,1,2,-0.6037559695541859,-0.999506026506424,0.3957500010728836,-4.96999990940094,-0.5718178898096085,0.5485799908638,0.5279499987761179,0.6968500018119812,1.136299967765808,4,-0.5952756106853485,-0.5053040305872125,1,3,1990,-0.3,,,,,,,,,,
Ken Patterson,CHW,2,1,2,43,0,66.1,5.427136094530276,4.613065680350735,0.8140704141795414,0.2587064676616915,0.78271028,,,,3.3919600590814225,,4.4062890892308735,,-0.3210369348526001,Ken Patterson,1010067,120293,1.17647059,0.14134276,0.12014134,0.02120141,0.2348178137651821,1.3869347797132927,86.37276020032391,114.960534043578,,-1.014329030149451,,0,0,0,,,283,58,27,25,6,34,1,2,2,0,40,0.4371601045131683,-3.010854005813598,3.4480140209198,5.943000316619873,0.6377854943275452,0.6793509125709534,0.8537216782569885,1.2066233158111572,1.6025856733322144,28,0.0250824056565761,0.618414344585163,9,7,1990,0.62,,,,,,,,,,
Steve Frey,MON,8,2,9,51,0,55.2,4.688624253889519,4.688624253889519,0.6467067936399337,0.2312138728323699,0.8625731,,,,2.1017970793297844,,4.3172815354456935,,-0.3222629427909851,Steve Frey,1004344,114428,1.0,0.12288136,0.12288136,0.0,0.2135922330097087,1.3113776648809763,55.514906469626865,115.86173357563544,,-2.215484456115909,,0,0,0,,,236,44,15,13,4,29,6,1,0,0,29,3.1325039863586426,-4.034019947052002,7.1665239334106445,10.324999809265137,1.1940319538116455,1.5869766473770142,1.555349588394165,1.5111411809921265,1.5594866275787354,30,0.4955218732357025,1.47835971571906,25,5,1990,1.51,,,,,,,,,,
