Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Jack Sanford,1011432,121684,SFG,1.6400669813156128,,0.96,4.223927072337554,,4.1291020407765595,,,,0.12134345,0.09425785,0.02708559,217.1,38,33,,,,,0.9110430940335902,0.2596843615494978,0.68508706,,0,0.2442839951865222,1.3343560468168745,108.47235763084451,108.40947257888612,,,,,,112,87,5,22,,6,0
Mudcat Grant,1004952,115046,CLE,1.60517156124115,,2.35,3.8623972581082624,,4.453995780305347,,,,0.14079074,0.1051109,0.03567985,244.2,35,35,,,,,1.1771115453282324,0.2342704149933065,0.73304158,,0,0.2237837837837837,1.291552945568477,98.40349095458262,111.67697104531744,,,,,,146,109,3,32,,11,3
Bobby Shantz,1011804,122060,PIT,1.583337664604187,,1.63,3.3246281907037383,,2.9432901943731693,,,,0.16180371,0.06896552,0.0928382,89.1,43,6,,,,,0.5037315440460209,0.3060498220640569,0.72807018,,2,0.2622478386167147,1.3097020145196543,82.77358504841565,75.57927764186144,,,,,,61,26,4,5,,2,1
Cal McLish,1008626,118811,CHW,1.5729082822799685,,0.61,4.379877757333502,,4.157049626959829,,,,0.11412268,0.06704708,0.04707561,162.1,31,27,,,,,1.1642713025823237,0.2844202898550724,0.70701933,,1,0.2725880551301684,1.3860372649789563,111.26004516325064,103.80606353582556,,,,,,80,47,1,21,,4,0
Chuck Estrada,1003841,113917,BAL,1.5548843145370483,,2.44,3.693396226415094,,4.238981401695396,,,,0.17316017,0.14285714,0.03030303,212.0,33,31,,,,,0.8066037735849056,0.2321724709784411,0.76530612,,0,0.2033248081841432,1.3726415094339623,96.67862245252432,109.1117057802495,,,,,,160,132,10,19,,6,1
Barry Latman,1007377,117533,CLE,1.5500612258911133,,1.68,4.024527490819033,,4.045584878687309,,,,0.14713896,0.07356948,0.07356948,176.2,45,18,,,,,1.1716978770738955,0.2573529411764705,0.72708114,,5,0.2414814814814815,1.2283016392513786,102.53413309775584,101.2717600384084,,,,,,108,54,5,23,,4,2
Rollie Sheldon,1011855,122114,NYY,1.505744457244873,,0.93,3.5963106882634768,,3.9509359409975726,,,,0.12537313,0.08208955,0.04328358,162.2,35,21,,,,,0.9405735646227554,0.2578125,0.74643249,,0,0.2430668841761827,1.254098086163674,94.71595300992075,102.19615364007396,,,,,,84,55,2,17,,6,2
Jim Owens,1009923,120143,PHI,1.4730015993118286,,0.55,4.471873507351181,,3.736386674046646,,,,0.08296943,0.069869,0.01310044,106.2,20,17,,,,,0.674999774694518,0.2921052631578947,0.63662375,,0,0.2793427230046948,1.4156245274843362,110.94952722895805,94.9936170837907,,,,,,38,32,0,8,,3,0
Luis Arroyo,1000328,110341,NYY,1.449070692062378,,3.22,2.19327731092437,,2.9688450452660313,,,,0.17975207,0.10123967,0.0785124,119.0,65,0,,,,,0.3781512605042016,0.2294117647058823,0.7890625,,29,0.1921296296296296,1.1092436974789917,57.764294780534385,76.33084799917135,,,,,,87,49,3,5,,0,0
Sam Jones,1006590,116725,SFG,1.4459446668624878,,0.02,4.488312933515694,,3.672588665589617,,,,0.18134715,0.0984456,0.08290156,128.1,37,17,,,,,0.8415586750341926,0.3073047858942065,0.69703622,,1,0.2607003891050584,1.4883121012178775,115.26190612330537,96.68600263054306,,,,,,105,57,8,12,,2,0
